,rf,r_market,r_market_excess,r_CLNX.MC,r_CLNX.MC_excess,r_ENC.MC,r_ENC.MC_excess,r_IBE.MC,r_IBE.MC_excess,r_ANA.MC,r_ANA.MC_excess,r_TEF.MC,r_TEF.MC_excess,r_AMS.MC,r_AMS.MC_excess,r_REP.MC,r_REP.MC_excess,r_SAB.MC,r_SAB.MC_excess,r_MEL.MC,r_MEL.MC_excess,r_FER.MC,r_FER.MC_excess,r_ELE.MC,r_ELE.MC_excess,r_IAG.MC,r_IAG.MC_excess,r_SAN.MC,r_SAN.MC_excess,r_COL.MC,r_COL.MC_excess,r_AENA.MC,r_AENA.MC_excess,r_CABK.MC,r_CABK.MC_excess,r_SCYR.MC,r_SCYR.MC_excess,r_ACS.MC,r_ACS.MC_excess,r_BBVA.MC,r_BBVA.MC_excess,r_MRL.MC,r_MRL.MC_excess,r_LRE.MC,r_LRE.MC_excess,r_ENG.MC,r_ENG.MC_excess,r_BKT.MC,r_BKT.MC_excess,r_NTGY.MC,r_NTGY.MC_excess,r_ITX.MC,r_ITX.MC_excess,r_GRF.MC,r_GRF.MC_excess,r_ALM.MC,r_ALM.MC_excess,r_NHH.MC,r_NHH.MC_excess,r_FCC.MC,r_FCC.MC_excess,r_IDR.MC,r_IDR.MC_excess,r_SLR.MC,r_SLR.MC_excess,r_PHM.MC,r_PHM.MC_excess,r_UNI.MC,r_UNI.MC_excess,r_LOG.MC,r_LOG.MC_excess,r_HOME.MC,r_HOME.MC_excess,r_GRE.MC,r_GRE.MC_excess,r_GEST.MC,r_GEST.MC_excess,r_SOL.MC,r_SOL.MC_excess,r_MAP.MC,r_MAP.MC_excess,r_PRS.MC,r_PRS.MC_excess,r_MDF.MC,r_MDF.MC_excess,r_ACX.MC,r_ACX.MC_excess,r_CIE.MC,r_CIE.MC_excess,r_ADX.MC,r_ADX.MC_excess,r_DOM.MC,r_DOM.MC_excess,r_TRE.MC,r_TRE.MC_excess,r_FDR.MC,r_FDR.MC_excess,r_ALB.MC,r_ALB.MC_excess,r_ALNT.MC,r_ALNT.MC_excess,r_GSJ.MC,r_GSJ.MC_excess,r_AEDAS.MC,r_AEDAS.MC_excess,r_LDA.MC,r_LDA.MC_excess,r_GCO.MC,r_GCO.MC_excess,r_CAF.MC,r_CAF.MC_excess,r_ENER.MC,r_ENER.MC_excess,r_ANE.MC,r_ANE.MC_excess,r_TLGO.MC,r_TLGO.MC_excess,r_ROVI.MC,r_ROVI.MC_excess
2019-10-01,-2.1845497234829203e-05,-0.008512993755856235,-0.008491148258621406,0.007915530364063672,,-0.04928365509335575,,-0.012164414147405322,,-0.015962788387800297,,-0.007855974345384542,,-0.01521607510702161,,-0.0024407567731546953,,-0.004942317363439641,,0.005617971054533211,,-0.010561980857230369,,-0.010356246798247315,,-0.0011227701496134834,,-0.016593194737255845,,0.010839987767484294,,0.008035802039375595,,-0.01576768954320351,,-0.0034043667784292575,,-0.012820335036481167,,-0.016734664627475748,,0.005464393586215088,,0.023346252229452302,,0.011759202759242138,,-0.014497979055838606,,-0.0004109809846912782,,-0.008098489352983962,,-0.014423162140855705,,-0.011837939591277102,,-0.005941416813414202,,0.01140686800344648,,-0.004408072470301172,,-0.010526306103030625,,-0.01261654258048539,,-0.02054795286434985,,0.0033557515770490376,,0.008103660732133644,,0.03333336186205149,,-0.018224359475434326,,,,-0.004046987532350554,,0.0030534869355713923,,-0.05426350544868497,,-0.005096772198862176,,-0.019999716298165215,,-0.022165945825112554,,0.016260056354791885,,-0.011534994473261562,,-0.016544147823388644,,-0.004474143941833986,,-0.010273950217578376,,-0.007374833238678158,,0.0213776635646592,,,,0.029159605760105123,,-0.015606208878795158,,,,,,-0.013806793963782815,,-0.018264834203403524,
2019-10-02,-2.192529948963351e-05,-0.027678698709402094,-0.02765677340991246,-0.019109911091458986,-0.019088065594224157,-0.026521960550492385,-0.026500115053257556,-0.011677338668363846,-0.011655493171129017,0.001569689231262883,0.0015915347284977122,-0.024618490234648127,-0.024596644737413298,-0.042954257463623025,-0.042932411966388195,-0.023418270710384714,-0.023396425213149885,-0.015579593265830027,-0.015557747768595198,-0.01675975733202728,-0.01673791183479245,-0.037361793742979654,-0.037339948245744825,-0.01758050389230137,-0.01755865839506654,-0.02248043415385148,-0.02245858865661665,-0.04286285653836619,-0.04284101104113136,-0.006255524990017691,-0.006233679492782862,-0.016829148252583304,-0.016807302755348474,-0.029932517924089908,-0.02991067242685508,-0.03757445840099116,-0.03755261290375633,-0.04200065136463638,-0.04197880586740155,-0.03861298395537327,-0.03859113845813844,-0.01785708331625324,-0.017835237819018412,-0.005069642584403455,-0.005047797087168626,-0.018596036185406062,-0.018574190688171233,-0.021015539652693538,-0.02099369415545871,-0.03205912098733554,-0.032037275490100714,-0.031239108018145223,-0.031217262520910394,-0.005628472188439537,-0.005606626691204708,-0.04161424711268913,-0.0415924016154543,-0.008735580147077537,-0.008713734649842708,-0.016917445520304275,-0.016895600023069446,-0.024035386698013084,-0.024013541200778254,0.0966312214885825,0.09665306698581733,-0.005555703413797741,-0.005533857916562912,-0.01958040800421046,-0.01955856250697563,-0.034002211222023626,-0.0339803657247888,-0.03456583477952402,-0.03454398928228919,0.019851096660329803,0.019872942157564633,-0.027606014788161826,-0.027584169290926996,,,-0.018285269379182623,-0.018263423881947793,0.012176584701057314,0.012198430198292143,0.02459015242116691,0.02461199791840174,-0.024590293306134714,-0.024568447808899885,-0.013309871296205533,-0.013288025798970704,0.0038859590685338397,0.003907804565768669,-0.030666599025974017,-0.030644753528739188,-0.017055667457041346,-0.017033821959806517,-0.01869177046884085,-0.018669924971606022,-0.022472042022008365,-0.022450196524773536,0.0034601420623898704,0.0034819875596246996,-0.020802183597502744,-0.020780338100267914,0.016279080169388616,0.016300925666623445,,,-0.026666805055650444,-0.026644959558415615,-0.03292675721444138,-0.03290491171720655,,,,,-0.01399999018626763,-0.013978144689032801,0.0,2.1845497234829203e-05
2019-10-03,-2.20849087949615e-05,-0.0011220573798667033,-0.0010999724710717418,0.006405094221662466,0.0064270195211521,-0.027244539142855517,-0.027222613843365884,-0.0010741190950211976,-0.0010521937955315641,-0.009404302640069195,-0.009382377340579562,-0.0011806960344293849,-0.0011587707349397514,0.010332666548644953,0.010354591848134587,-0.016821722805509975,-0.016799797506020342,0.010091992337891709,0.010113917637381342,-0.0035511407942114825,-0.003529215494721849,0.009901070286777447,0.00992299558626708,0.0034087803700930674,0.003430705669582701,-0.02031429680225527,-0.020292371502765638,-0.002416791930557771,-0.0023948666310681377,0.010791453079505464,0.010813378378995098,-0.0039039612108798805,-0.003882035911390247,-0.001303841105266934,-0.0012819158057773006,-0.00798587701978204,-0.007963951720292406,0.0043264925167960655,0.004348417816285699,0.0,2.192529948963351e-05,0.003952477607552796,0.003974402907042429,0.005095474820541401,0.005117400120031035,-0.012789962687997702,-0.012768037388508069,-0.006082084084311434,-0.006060158784821801,-0.002547704694690567,-0.0025257793952009333,0.00476382488891014,0.004785750188399773,0.0015094809547000487,0.0015314062541896822,0.007236979084502826,0.007258904383992459,-0.002783076883026925,-0.0027611515835372913,-0.009560210974507544,-0.00953828567501791,-0.024627378737300365,-0.02460545343781073,0.04607919968452423,0.046101124984013864,-0.02011172544328732,-0.020089800143797687,0.012838787038498944,0.012860712337988578,-0.026543543469914943,-0.02652161817042531,-0.014987540269154831,-0.014965614969665197,0.02189773061485889,0.021919655914348524,-0.021047456814021093,-0.02102553151453146,,,-0.011589370472248617,-0.011567445172758983,-0.0030075696103801786,-0.002985644310890545,-0.04400002956390381,-0.043978104264414175,-0.03046208368389214,-0.030440158384402505,-0.05575541249007654,-0.055733487190586906,-0.012903214563962262,-0.012881289264472628,-0.044016535967697834,-0.0439946106682082,-0.008219234070380499,-0.008197308770890865,-0.030475953007518042,-0.03045402770802841,-0.00919533741808165,-0.009173412118592017,-0.02068961097691102,-0.020667685677421388,0.016691947638568072,0.016713872938057706,0.006865035501190331,0.006886960800679964,,,0.0,2.192529948963351e-05,-0.03152588761381392,-0.031503962314324285,,,,,-0.004056792247732477,-0.004034866948242843,-0.013953436082938975,-0.013931510783449341
2019-10-04,-2.200510334304795e-05,0.006694930249533382,0.00671693535287643,0.007159839818456026,0.007181924727250988,-0.019096164723700237,-0.019074079814905276,0.009462373746293107,0.009484458655088068,0.008966182691825031,0.008988267600619992,0.006206480708334405,0.006228565617129367,0.015020708016648454,0.015042792925443416,0.0036402455267092737,0.003662330435504235,-0.004313767207527075,-0.0042916822987321135,0.004989328630771395,0.005011413539566356,0.013333204792831621,0.013355289701626583,0.011040147222042274,0.011062232130837235,-0.004694901733572232,-0.0046728168247772706,0.005415268991130651,0.005437353899925612,0.003558611351222485,0.0035806962600174463,0.005125165698981915,0.0051472506077768765,-0.005221968631892837,-0.005199883723097876,0.00357766139533644,0.0035997463041314015,0.00976450220201186,0.009786587110806821,0.003540753331449764,0.0035628382402447256,0.011811248379840933,0.011833333288635894,-0.007604513401277213,-0.007582428492482252,0.004318508571197421,0.004340593479992383,0.0014395483908444806,0.001461633299639442,0.004682797418956275,0.004704882327751236,0.014223083012025795,0.014245167920820756,0.0041445940646998025,0.004166678973494764,0.0065316090596978515,0.006553693968492813,0.03023271230995217,0.03025479721874713,0.00965249082320696,0.009674575732001922,0.010631277346766499,0.01065336225556146,0.02318394130318646,0.023206026211981423,0.01254284584274945,0.012564930751544412,-0.011267571628782336,-0.011245486719987374,0.035566104532887,0.03558818944168196,-0.036348291002547994,-0.03632620609375303,0.09047622183283033,0.09049830674162529,-0.014499993599701444,-0.014477908690906482,,,0.0012562441468471075,0.001278329055642069,-0.012066389686364531,-0.01204430477756957,-0.054393292656695014,-0.05437120774790005,-0.00677158836712255,-0.006749503458327588,0.0,2.20849087949615e-05,-0.013071883886505042,-0.013049798977710081,0.05035975501615897,0.05038183992495393,0.010128961715536011,0.010151046624330973,0.03143393204331146,0.031456016952106425,-0.013921216574872997,-0.013899131666078035,-0.007042120255106643,-0.007020035346311682,-0.0029851400164808695,-0.002963055107685908,0.020454610281389174,0.020476695190184135,,,-0.0034246178397251414,-0.00340253293093018,0.02604171997894067,0.02606380488773563,,,,,0.017311596603760915,0.017333681512555876,0.00943386199727958,0.009455946906074542
2019-10-07,-2.204500586910907e-05,0.009183401379313727,0.009205446385182836,-0.0018429312186061253,-0.0018209261152630773,0.0188187755816549,0.01884078068499795,0.003834688702678557,0.003856693806021605,0.012023065485858409,0.012045070589201456,0.008811890328852101,0.008833895432195149,0.012279637261584764,0.012301642364927812,0.022488325428277722,0.02251033053162077,0.00843671494493603,0.008458720048279078,0.008510594020623818,0.008532599123966866,0.002322098002621953,0.002344103105965001,0.0029399477938418794,0.0029619528971849274,0.031053385388533528,0.031075390491876576,0.008504666987689369,0.008526672091032417,0.00709218779884635,0.007114192902189398,-0.006898615334270497,-0.006876610230927449,0.017497821473733133,0.01751982657707618,0.01871666462787358,0.01873866973121663,0.004550657625858268,0.0045726627292013156,0.011466130332061342,0.01148813543540439,0.0007780150540752651,0.000800020157418313,0.006385637660001553,0.006407642763344601,0.006688971801682042,0.00671097690502509,0.007189176613599413,0.007211181716942461,0.013559382616636029,0.013581387719979077,0.011506643091193647,0.011528648194536695,0.014258987850896965,0.014280992954240013,-0.015574232487506001,-0.015552227384162953,0.00767495590948486,0.007696961012827908,0.015296421043567543,0.015318426146910591,0.004602181761374169,0.004624186864717217,0.012084580829157865,0.012106585932500913,0.007319740575022493,0.007341745678365541,0.013532710113742796,0.013554715217085844,-0.0017171367967775408,-0.0016951316934344929,0.03508777826312648,0.03510978336646953,0.026200848811800848,0.026222853915143896,0.017250259812733537,0.017272264916076585,,,0.01505652147024028,0.015078526573583328,-0.015267161679471508,-0.01524515657612846,0.14159288009318893,0.14161488519653198,0.022907090484770576,0.022929095588113624,0.011428468665645841,0.01145047376898889,-0.01986753189986401,-0.019845526796520963,0.009588918188260243,0.00961092329160329,-0.0009115727039002985,-0.0008895676005572506,0.009523851999487132,0.00954585710283018,0.007058927653520675,0.007080932756863723,0.014184215893111363,0.01420622099645441,0.013473061899358596,0.013495067002701644,-0.006681559428880601,-0.006659554325537553,,,-0.02215526597352757,-0.022133260870184523,0.01776634856812276,0.017788353671465806,,,,,0.02502500746540126,0.02504701256874431,-0.004672847995515816,-0.0046508428921727685
2019-10-08,-2.1965201216556096e-05,-0.011499209926015719,-0.011477244724799163,0.02637816084469935,0.02640020585056846,0.011465141573437698,0.011487186579306807,-0.009762018608153733,-0.009739973602284624,-0.050103525440883034,-0.050081480435013925,-0.014267020855892931,-0.014244975850023822,-0.0037325966087817797,-0.0037105516029126706,-0.010997000817958735,-0.010974955812089626,-0.024196603806668215,-0.024174558800799106,-0.002812902385003979,-0.00279085737913487,-0.01119687007410708,-0.01117482506823797,-0.01088781285825513,-0.010865767852386021,-0.022874256763001144,-0.022852211757132035,-0.010400549418429827,-0.010378504412560718,-0.005281581523582934,-0.005259536517713825,-0.006644539394819016,-0.006622494388949907,-0.016336983058814702,-0.016314938052945593,0.0017501389030913916,0.0017721839089605007,-0.015005752609325351,-0.014983707603456242,-0.017767484277197543,-0.017745439271328434,0.0069984599125449964,0.0070205049184141055,0.0,2.204500586910907e-05,-0.021357392631677796,-0.021335347625808687,-0.01213401044643081,-0.0121119654405617,-0.008361282458107966,-0.008339237452238857,-0.022395981535292764,-0.022373936529423655,-0.0003699708114758282,-0.00034792580560671915,-0.004614369514594818,-0.004592324508725709,-0.0031363095242034067,-0.0031142645183342976,-0.0018831062195951986,-0.0018610612137260896,-0.035340326513607856,-0.03531828150773875,0.011940358629948689,0.011962403635817798,0.005589770490743495,0.005611815496612604,-0.0021082037914397223,-0.002086158785570613,0.005160349121222874,0.005182394127091983,0.012711815065042043,0.012733860070911152,0.017021362508463866,0.017043407514332976,-0.03840409228635733,-0.03838204728048822,,,-0.016069242552285257,-0.016047197546416148,-0.01860459700605399,-0.018582552000184882,0.18217063262825417,0.18219267763412328,-0.010130523412929748,-0.01010847840706064,0.004708415536582411,0.00473046054245152,0.027027002364792274,0.027049047370661383,0.017639120462028313,0.01766116546789742,0.004562022134354082,0.004584067140223191,-0.0037734782874482287,-0.0037514332815791196,-0.0035047242319613536,-0.0034826792260922446,-0.020978888342219948,-0.02095684333635084,-0.005908549265625007,-0.005886504259755898,0.013452859734041978,0.013474904739911087,,,0.028268585420168302,0.02829063042603741,-0.007481280816414082,-0.007459235810544973,,,,,0.02539060761880574,0.025412652624674847,0.009389668201078338,0.009411713206947447
2019-10-09,-2.1965201216556096e-05,0.005794206274355007,0.005816171475571563,0.034181398682917585,0.03420336388413414,-0.029596978785823014,-0.029575013584606458,0.002142857142857224,0.00216482234407378,-0.01794434119379207,-0.017922375992575512,0.0064983470572703705,0.006520312258486927,0.01092740955055449,0.010949374751771046,0.010760420690974382,0.010782385892190938,0.00023181160148166846,0.00025377680269822456,0.004936481985026386,0.0049584471862429425,0.0054665767236743434,0.0054885419248908995,0.005503888861938977,0.005525854063155533,-0.0054624973555897904,-0.005440532154373234,0.006533295598959876,0.006555260800176432,0.010619451835224059,0.010641417036440615,0.011857681816704435,0.011879647017920991,0.0043705797755690945,0.004392544976785651,0.026200488703007396,0.026222453904223952,-0.00028740620781531057,-0.00026544100659875447,0.00011095302589381184,0.00013291822711036794,-0.007721829217537612,-0.007699864016321056,-0.010152350716271852,-0.010130385515055296,-0.0019399170435125956,-0.0019179518422960395,0.006502733316556597,0.006524698517773153,-0.002951392441925771,-0.002929427240709215,0.010181888571427988,0.010203853772644544,0.013323369770274374,0.01334533497149093,0.011920388939742343,0.0119423541409589,0.022471980969596128,0.022493946170812684,-0.0018867766870569458,-0.0018648114858403897,-0.008141115574500701,-0.008119150373284145,-0.0044248095693196765,-0.00440284436810312,0.00944965687939403,0.009471622080610587,0.009154913924360075,0.009176879125576631,0.007415846026583184,0.00743781122779974,-0.002510428516415919,-0.002488463315199363,-0.04811715668998018,-0.04809519148876362,0.0036306964876362535,0.0036526616888528096,,,0.0012562441468471075,0.0012782093480636636,-0.006319127968061666,-0.00629716276684511,0.26229502109711245,0.262316986298329,0.007810347668082418,0.007832312869298974,0.019681246923316298,0.019703212124532854,-0.013157883046191032,-0.013135917844974476,-0.0013333365363744631,-0.001311371335157907,-0.0009082609204479342,-0.0008862957192313781,0.0,2.1965201216556096e-05,0.01172339967055791,0.011745364871774466,0.0,2.1965201216556096e-05,0.007429625487675562,0.007451590688892118,0.0,2.1965201216556096e-05,,,-0.0034366036654792653,-0.0034146384642627092,-0.015075451865299572,-0.015053486664083016,,,,,0.001904856004693034,0.0019268212059095902,0.018604644958992722,0.018626610160209278
2019-10-10,-2.1965201216556096e-05,0.01251125959060806,0.012533224791824615,0.002485097804779013,0.002507063005995569,0.049967604554939316,0.04998956975615587,-0.005773954511221979,-0.005751989310005423,0.009413002720144226,0.009434967921360782,0.011151872526655282,0.011173837727871838,0.016676731611834805,0.01669869681305136,0.015614086242532244,0.0156360514437488,0.04633947529981253,0.04636144050102908,0.013333309852080921,0.013355275053297477,0.002330044820772148,0.002352010021988704,-0.011368511688818583,-0.011346546487602027,0.013730848269236429,0.013752813470452985,0.026103806300013188,0.026125771501229744,-0.0008757053973666995,-0.0008537401961501434,0.00450721709192381,0.004529182293140366,0.04656224093892147,0.04658420614013803,0.020425551366389127,0.020447516567605684,0.009200754826996338,0.009222720028212894,0.02707501698734638,0.027096982188562935,0.0062255948767979685,0.006247560078014525,-0.001281959567626445,-0.001259994366409889,-0.0043732089252747075,-0.004351243724058151,0.04271374718645582,0.042735712387672375,0.0029601289441185674,0.0029820941453351235,0.015118815942159358,0.015140781143375914,-0.013878674538549962,-0.013856709337333406,0.0006545869739449373,0.0006765521751614934,-0.01538460872583669,-0.015362643524620134,0.007561373371226754,0.00758333857244331,0.0957592918565855,0.09578125705780205,0.0,2.1965201216556096e-05,0.027533127723619044,0.0275550929248356,0.023028696438348373,0.02305066163956493,0.013589993494532271,0.013611958695748827,0.006711287396925281,0.006733252598141837,0.0,2.1965201216556096e-05,0.002584121448235832,0.002606086649452388,,,0.016729363941278663,0.01675132914249522,0.03338627628183377,0.03340824148305033,0.04675326525089374,0.046775230452110295,0.030465005343981888,0.030486970545198444,0.008271957827792775,0.008293923029009331,0.013333321328853343,0.013355286530069899,-0.012015908766907835,-0.011993943565691279,0.008181874092261676,0.008203839293478232,-0.007576058372601113,-0.007554093171384557,0.010428687744730603,0.010450652945947159,0.053571306846414535,0.05359327204763109,-0.010324426018779476,-0.01030246081756292,-0.0022123804451993356,-0.0021904152439827795,,,0.0,2.1965201216556096e-05,0.0025511241152889053,0.0025730893165054614,,,,,0.05133085457979236,0.05135281978100892,-0.004566161784614553,-0.004544196583397997
2019-10-11,-2.1885398162391212e-05,0.018606322964105804,0.018628208362268195,0.0006690749434676846,0.0006910401446842407,0.04697150276983364,0.046993467971050196,-0.009034319186606798,-0.009012353985390242,0.0010971367797940612,0.0011191019810106173,0.021477297798537576,0.021499262999754132,0.014884574595651179,0.014906539796867735,0.017120747821929516,0.017142713023146072,0.061336776844156615,0.06135874204537317,0.017313042072811147,0.017335007274027703,-0.004261860754602775,-0.004239895553386219,0.0008520064851484932,0.0008739716863650493,0.10681113312080281,0.10683309832201937,0.04290438816753528,0.042926353368751835,-0.00525853696858003,-0.005236571767363474,0.009572199768999257,0.009594164970215813,0.053638318420780706,0.05366028362199726,0.005004365704107672,0.005026330905324228,0.031054214859301377,0.031076180060517933,0.04151950808674565,0.041541473287962205,0.02165520785099817,0.021677173052214727,0.026957613142591264,0.02697957834380782,0.003416340781677185,0.0034383059828937412,0.03511149829608606,0.03513346349730262,0.009275006008243603,0.009296971209460159,0.013120497630158656,0.013142462831375212,0.004074128180220793,0.004096093381437349,0.0379332136217545,0.03795517882297106,0.03437498488931956,0.034396950090536116,-0.0037524310639268643,-0.0037304658627103082,0.07053690325118422,0.07055886845240078,-0.008148122716833073,-0.008126157515616517,0.01607705832341999,0.016099023524636547,0.030013596353938743,0.0300355615551553,0.02346371299537009,0.023485678196586646,0.0,2.1965201216556096e-05,0.010988947648731706,0.011010912849948262,0.03865970371047989,0.03868166891169644,,,0.02550412448530537,0.025526089686521924,-0.02769222727893783,-0.027670262077721275,-0.0570719654358135,-0.05705000023459694,0.033194976771713236,0.03321694197292979,0.02187775351092225,0.021899718712138805,0.011842110895926128,0.011864076097142684,0.04594583640182659,0.045967801603043146,0.0009017089392784339,0.00092367414049499,-0.017175402363876713,-0.017153437162660157,0.008027540913807973,0.00804950611502453,0.0033899367064254005,0.0034119019076419566,0.010432131791680899,0.010454096992897455,0.008869143700886983,0.00889110890210354,,,0.012069088258462646,0.012091053459679202,0.022900822279269706,0.022922787480486262,,,,,0.009041493409630563,0.00906345861084712,-0.009174308478476445,-0.009152343277259889
2019-10-14,-2.1845497234829203e-05,-0.002943756093775174,-0.0029219105965403447,0.03520386072045656,0.03522574611861895,0.007083711458873987,0.007105596857036378,0.004340984651600932,0.004362870049763323,0.0136987420832968,0.013720627481459191,-0.007671524045870792,-0.007649638647708401,-0.013169465426756677,-0.013147580028594286,-0.0020610072145580416,-0.0020391218163956504,0.0075111325672228,0.007533017965385191,-0.011572460637102266,-0.011550575238939875,0.009727535220984462,0.009749420619146854,-0.00468105977716704,-0.004659174379004649,-0.013286769961882605,-0.013264884563720214,-0.009889291362367159,-0.009867405964204767,0.01233488323554055,0.012356768633702941,-0.004740720758351635,-0.004718835360189244,-0.005919582230698217,-0.005897696832535826,-0.004149655018495513,-0.0041277696203331216,-0.0013815923376554462,-0.001359706939493055,-0.017281568691339344,-0.017259683293176953,0.003027919257143852,0.003049804655306243,0.0012500081813211494,0.0012718935794835406,0.007295653845501571,0.007317539243663962,-0.008313983311129758,-0.008292097912967367,0.007936449016085367,0.007958334414247759,-0.005600199370405234,-0.005578313972242843,0.005164089223080204,0.005185974621242595,0.00441090331478744,0.004432788712949831,-0.024600842300304238,-0.024578956902141846,0.003766564838832309,0.0037884502369947004,-0.01282808898042287,-0.012806203582260478,0.0395817564885641,0.03960364188672649,0.06540071426475347,0.06542259966291586,0.007947040751051793,0.007968926149214184,-0.008733598567613354,-0.008711713169450963,-0.0008332494725579176,-0.0008113640743955264,0.041304361121641264,0.041326246519803655,-0.01042181018152688,-0.01039992478336449,,,-0.008423750808643438,-0.008401865410481046,-0.009493736844185086,-0.009471851446022694,0.03421055686110641,0.0342324422592688,-0.01280114332871396,-0.012779257930551569,-0.004460205407265216,-0.004438320009102825,0.08907674715169223,0.08909863254985462,-0.01679583741581181,-0.01677395201764942,0.001801699420277636,0.0018235848184400272,-0.029126237202659833,-0.02910435180449744,0.004550593368093825,0.004572478766256216,-0.016891995080411615,-0.016870109682249224,0.014749261101915767,0.014771146500078158,-0.004395658405191294,-0.004373773007028903,,,-0.0034071018829892052,-0.003385216484826814,0.016169011863134797,0.016190897261297188,,,,,-0.012544793862092285,-0.012522908463929894,0.013888836204705601,0.013910721602867993
