,rf,r_market,r_market_excess,r_CLNX.MC,r_CLNX.MC_excess,r_ENC.MC,r_ENC.MC_excess,r_IBE.MC,r_IBE.MC_excess,r_ANA.MC,r_ANA.MC_excess,r_TEF.MC,r_TEF.MC_excess,r_AMS.MC,r_AMS.MC_excess,r_SAB.MC,r_SAB.MC_excess,r_MEL.MC,r_MEL.MC_excess,r_FER.MC,r_FER.MC_excess,r_ELE.MC,r_ELE.MC_excess,r_SAN.MC,r_SAN.MC_excess,r_COL.MC,r_COL.MC_excess,r_AENA.MC,r_AENA.MC_excess,r_CABK.MC,r_CABK.MC_excess,r_ACS.MC,r_ACS.MC_excess,r_SCYR.MC,r_SCYR.MC_excess,r_REP.MC,r_REP.MC_excess,r_BBVA.MC,r_BBVA.MC_excess,r_LRE.MC,r_LRE.MC_excess,r_MRL.MC,r_MRL.MC_excess,r_ENG.MC,r_ENG.MC_excess,r_BKT.MC,r_BKT.MC_excess,r_NTGY.MC,r_NTGY.MC_excess,r_ITX.MC,r_ITX.MC_excess,r_GRF.MC,r_GRF.MC_excess,r_IAG.MC,r_IAG.MC_excess,r_ALM.MC,r_ALM.MC_excess,r_FCC.MC,r_FCC.MC_excess,r_IDR.MC,r_IDR.MC_excess,r_UNI.MC,r_UNI.MC_excess,r_SLR.MC,r_SLR.MC_excess,r_PHM.MC,r_PHM.MC_excess,r_REN.MC,r_REN.MC_excess,r_HOME.MC,r_HOME.MC_excess,r_GRE.MC,r_GRE.MC_excess,r_NXT.MC,r_NXT.MC_excess,r_SOL.MC,r_SOL.MC_excess,r_GEST.MC,r_GEST.MC_excess,r_MAP.MC,r_MAP.MC_excess,r_NHH.MC,r_NHH.MC_excess,r_MDF.MC,r_MDF.MC_excess,r_ACX.MC,r_ACX.MC_excess,r_CIE.MC,r_CIE.MC_excess,r_ADX.MC,r_ADX.MC_excess,r_DOM.MC,r_DOM.MC_excess,r_FDR.MC,r_FDR.MC_excess,r_TRE.MC,r_TRE.MC_excess,r_ALB.MC,r_ALB.MC_excess,r_ALNT.MC,r_ALNT.MC_excess,r_ANE.MC,r_ANE.MC_excess,r_GSJ.MC,r_GSJ.MC_excess,r_AEDAS.MC,r_AEDAS.MC_excess,r_LDA.MC,r_LDA.MC_excess,r_CAF.MC,r_CAF.MC_excess,r_ TRE.MC,r_ TRE.MC_excess,r_ENER.MC,r_ENER.MC_excess,r_TLGO.MC,r_TLGO.MC_excess,r_ROVI.MC,r_ROVI.MC_excess
2019-10-01,-2.1845497234829203e-05,-0.008512993755856235,-0.008491148258621406,0.007915719094182982,,-0.04928374205841202,,-0.012164537080063376,,-0.015962789847205228,,-0.007856075119293648,,-0.015216014785135568,,-0.004942232143170688,,0.005617971054533211,,-0.01056222531603912,,-0.01035613378690059,,-0.016593194737255845,,0.010840092167326398,,0.008035802039375595,,-0.015767754597063588,,-0.012820635530134128,,-0.0034041074988150344,,-0.0024408477053050603,,-0.016734596636314047,,0.02334625459587003,,0.005464393586215088,,0.011759272713454338,,-0.014498200014948726,,-0.0004108720000758348,,-0.008098489352983962,,-0.014423162140855705,,-0.0011228398825585684,,-0.011838003918638429,,0.01140686800344648,,-0.004408072470301172,,-0.02054795286434985,,-0.010526306103030625,,-0.01261654258048539,,0.0,,0.008103552796435487,,0.03333336186205149,,-0.01002435831673798,,,,-0.01822411236215027,,-0.004047126785364452,,-0.005941416813414202,,-0.05426350544868497,,-0.005096934508561413,,-0.020000005829489242,,-0.02216586807141674,,0.016260129326516326,,-0.016544152791453492,,-0.011534994473261562,,-0.004474339168154651,,-0.0102741213462334,,,,-0.007374671088501983,,0.0213776635646592,,,,-0.015606208878795158,,-0.011534994473261562,,,,-0.013806696569785837,,-0.018264742379277443,
2019-10-02,-2.192529948963351e-05,-0.027678698709402094,-0.02765677340991246,-0.019110095467371302,-0.019088249970136473,-0.026521960550492385,-0.026500115053257556,-0.011677151587362378,-0.011655306090127548,0.001569782285616439,0.0015916277828512682,-0.024618387858518664,-0.024596542361283835,-0.04295437734035945,-0.04293253184312462,-0.01557942112799171,-0.015557575630756881,-0.01675975733202728,-0.01673791183479245,-0.037361713901630345,-0.037339868404395515,-0.017580387690759536,-0.017558542193524707,-0.04286285653836619,-0.04284101104113136,-0.006255524990017691,-0.006233679492782862,-0.016829148252583304,-0.016807302755348474,-0.0299324538064647,-0.02991060830922987,-0.04200050829661772,-0.04197866279938289,-0.03757464896150953,-0.0375528034642747,-0.02341836208806025,-0.023396516590825422,-0.03861298128534996,-0.03859113578811513,-0.005069643086548226,-0.005047797589313396,-0.01785708331625324,-0.017835237819018412,-0.018595902336740133,-0.018574056839505304,-0.02101539030668098,-0.020993544809446152,-0.03205922652136095,-0.03203738102412612,-0.031239108018145223,-0.031217262520910394,-0.005628472188439537,-0.005606626691204708,-0.022480365911908384,-0.022458520414673555,-0.0416141812348394,-0.04159233573760457,-0.016917445520304275,-0.016895600023069446,-0.024035386698013084,-0.024013541200778254,-0.01958040800421046,-0.01955856250697563,0.0966312214885825,0.09665306698581733,-0.005555703413797741,-0.005533857916562912,-0.002785537070727484,-0.002763691573492655,-0.03456583477952402,-0.03454398928228919,0.019851096660329803,0.019872942157564633,-0.007595738170117383,-0.007573892672882554,,,-0.027605949229908777,-0.027584103732673948,-0.018285128992159505,-0.018263283494924676,-0.008735580147077537,-0.008713734649842708,0.02459015242116691,0.02461199791840174,-0.024590213538090544,-0.024568368040855715,-0.01330977479433948,-0.01328792929710465,0.003885879243294754,0.003907724740529583,-0.030666599025974017,-0.030644753528739188,-0.018691470833228196,-0.018669625335993367,-0.017055667457041346,-0.017033821959806517,-0.022471657285458524,-0.022449811788223695,0.003460229262022052,0.0034820747592568813,,,-0.020802343554229386,-0.020780498056994556,0.016279080169388616,0.016300925666623445,,,-0.032926861419305675,-0.032905015922070846,-0.017055667457041346,-0.017033821959806517,,,-0.01399999018626763,-0.013978144689032801,0.0,2.1845497234829203e-05
2019-10-03,-2.20849087949615e-05,-0.0011220573798667033,-0.0010999724710717418,0.006405285021760632,0.006427210321250265,-0.027244736815575488,-0.027222811516085854,-0.0010743089900152603,-0.0010523836905256267,-0.009404395402967558,-0.009382470103477925,-0.0011809058306582187,-0.0011589805311685852,0.010332603206826274,0.010354528506315908,0.010091640849007932,0.010113566148497566,-0.0035511407942114825,-0.003529215494721849,0.009901070286777447,0.00992299558626708,0.0034083146278209853,0.0034302399273106188,-0.002416791930557771,-0.0023948666310681377,0.010791350263614774,0.010813275563104408,-0.0039038624364337027,-0.003881937136944069,-0.001303841105266934,-0.0012819158057773006,0.004326492861577602,0.004348418161067236,-0.007985809864532456,-0.007963884565042822,-0.016821817948406315,-0.01679989264891668,0.0,2.192529948963351e-05,0.005095475327816512,0.005117400627306146,0.003952477607552796,0.003974402907042429,-0.012790237137385585,-0.012768311837895951,-0.006082314873400163,-0.00606038957391053,-0.002547929975855512,-0.0025260046763658783,0.00476382488891014,0.004785750188399773,0.0015094809547000487,0.0015314062541896822,-0.02031429680225527,-0.020292371502765638,0.007236909848705508,0.007258835148195142,-0.009560210974507544,-0.00953828567501791,-0.024627378737300365,-0.02460545343781073,0.012838787038498944,0.012860712337988578,0.04607919968452423,0.046101124984013864,-0.02011172544328732,-0.020089800143797687,-0.027932966063617726,-0.027911040764128092,-0.014987540269154831,-0.014965614969665197,0.02189773061485889,0.021919655914348524,-0.007652505247675689,-0.007630579948186056,,,-0.021047519660495673,-0.02102559436100604,-0.011589368814947432,-0.011567443515457798,-0.002783076883026925,-0.0027611515835372913,-0.04400002956390381,-0.043978104264414175,-0.03046225136524061,-0.030440326065750978,-0.05575531761396957,-0.055733392314479935,-0.012903214563962262,-0.012881289264472628,-0.044016608858325035,-0.0439946835588354,-0.03047616044687418,-0.030454235147384545,-0.008219234070380499,-0.008197308770890865,-0.009195636743875246,-0.009173711444385613,-0.02068961097691102,-0.020667685677421388,,,0.01669178081334799,0.016713706112837623,0.006865110097627358,0.006887035397116992,,,-0.031525891010817375,-0.03150396571132774,-0.008219234070380499,-0.008197308770890865,,,-0.004056792247732477,-0.004034866948242843,-0.013953340810327841,-0.013931415510838208
2019-10-04,-2.200510334304795e-05,0.006694930249533382,0.00671693535287643,0.007159712794222672,0.007181797703017634,-0.019096066999665373,-0.01907398209087041,0.009462374346319358,0.00948445925511432,0.008966370818569214,0.008988455727364175,0.006206481360537364,0.006228566269332325,0.01502083661690179,0.01504292152569675,-0.004313681396768576,-0.004291596487973615,0.004989328630771395,0.005011413539566356,0.013333204792831621,0.013355289701626583,0.011040265622507484,0.011062350531302445,0.005415353306968296,0.005437438215763257,0.0035588151496259712,0.0035809000584209327,0.005125066029203262,0.005147150937998224,-0.005221968631892837,-0.005199883723097876,0.009764661671794572,0.009786746580589534,0.00357766139533644,0.0035997463041314015,0.0036405317290997274,0.003662616637894689,0.0035405373000010343,0.0035626222087959958,-0.007604514154499364,-0.007582429245704403,0.011811248379840933,0.011833333288635894,0.004318579198739014,0.004340664107533976,0.0014398588449717753,0.0014619437537667368,0.00468302433322898,0.0047051092420239415,0.014223083012025795,0.014245167920820756,0.0041445940646998025,0.004166678973494764,-0.004694901733572232,-0.0046728168247772706,0.006531677304158157,0.006553762212953118,0.00965249082320696,0.009674575732001922,0.010631210673761382,0.010653295582556344,-0.011267571628782336,-0.011245486719987374,0.02318394130318646,0.023206026211981423,0.01254284584274945,0.012564930751544412,0.0057470982393437176,0.005769183148138679,-0.03634817931869727,-0.03632609440990231,0.09047622183283033,0.09049830674162529,-0.01028335276255643,-0.010261267853761469,,,-0.014499992627928893,-0.014477907719133931,0.0012562439650953827,0.0012783288738903442,0.03023271230995217,0.03025479721874713,-0.054393292656695014,-0.05437120774790005,-0.0067713301135847725,-0.006749245204789811,0.0,2.20849087949615e-05,-0.013071883886505042,-0.013049798977710081,0.050359835102677275,0.05038192001147224,0.031434152728953224,0.031456237637748186,0.010128961715536011,0.010151046624330973,-0.013921017365488564,-0.013898932456693602,-0.007042297112815565,-0.007020212204020604,,,-0.0029849764199743056,-0.002962891511179344,0.02045453467813596,0.020476619586930922,,,0.02604172287635298,0.02606380778514794,0.010128961715536011,0.010151046624330973,,,0.017311596603760915,0.017333681512555876,0.009433861085772266,0.009455945994567228
2019-10-07,-2.204500586910907e-05,0.009183401379313727,0.009205446385182836,-0.001842993830932671,-0.001820988727589623,0.018819088278658747,0.018841093382001795,0.0038349402132136223,0.0038569453165566703,0.012023064369981018,0.012045069473324066,0.008811995685122476,0.008834000788465524,0.012279699672703703,0.012301704776046751,0.008436802610896965,0.008458807714240013,0.008510594020623818,0.008532599123966866,0.002321929618734231,0.002343934722077279,0.0029400627083522313,0.0029620678116952792,0.008504582412776518,0.008526587516119566,0.007092187079999812,0.00711419218334286,-0.006898615334270497,-0.006876610230927449,0.017497890056332288,0.017519895159675336,0.004550421527702575,0.004572426631045623,0.01871673262541984,0.01873873772876289,0.022488228471207128,0.022510233574550176,0.01146641866300202,0.011488423766345068,0.006385738105689542,0.00640774320903259,0.0007780150540752651,0.000800020157418313,0.00668890330602534,0.006710908409368388,0.007189098053854481,0.007211103157197529,0.013559157812766287,0.013581162916109335,0.011506643091193647,0.011528648194536695,0.014258987850896965,0.014280992954240013,0.031053385388533528,0.031075390491876576,-0.015574367034752568,-0.01555236193140952,0.015296421043567543,0.015318426146910591,0.004602248036634338,0.004624253139977386,0.013532710113742796,0.013554715217085844,0.012084580829157865,0.012106585932500913,0.007319740575022493,0.007341745678365541,0.01142858848708217,0.011450593590425218,0.03508765830010008,0.035109663403443125,0.026200848811800848,0.026222853915143896,-0.0025972397867289887,-0.0025752346833859407,,,0.017250190634732654,0.017272195738075702,0.015056519294617488,0.015078524397960535,0.00767495590948486,0.007696961012827908,0.14159288009318893,0.14161488519653198,0.022907001425941376,0.022929006529284424,0.01142857507695938,0.011450580180302428,-0.01986753189986401,-0.019845526796520963,0.009588918188260243,0.00961092329160329,0.009523851999487132,0.00954585710283018,-0.0009115727039002985,-0.0008895676005572506,0.007058927653520675,0.007080932756863723,0.014184485587531048,0.014206490690874096,,,0.013473061899358596,0.013495067002701644,-0.006681704634401209,-0.006659699531058161,,,0.017766458931180118,0.017788464034523166,-0.0009115727039002985,-0.0008895676005572506,,,0.02502500746540126,0.02504701256874431,-0.004672943266046614,-0.004650938162703566
2019-10-08,-2.1965201216556096e-05,-0.011499209926015719,-0.011477244724799163,0.026378287955214352,0.02640033296108346,0.011464935903640283,0.011486980909509392,-0.009762642549825062,-0.009740597543955953,-0.05010333742843509,-0.05008129242256598,-0.014267020855892931,-0.014244975850023822,-0.0037325963786521976,-0.0037105513727830886,-0.024196690011907496,-0.024174645006038387,-0.002812902385003979,-0.00279085737913487,-0.011196787958203114,-0.011174742952334005,-0.010887698616474872,-0.010865653610605763,-0.010400632572932555,-0.010378587567063446,-0.005281882923176662,-0.005259837917307553,-0.006644638736077235,-0.006622593730208126,-0.016337184167207308,-0.0163151391613382,-0.015005520284248064,-0.014983475278378955,0.0017499385415602475,0.0017719835474293566,-0.010996908078872769,-0.01097486307300366,-0.01776769433721259,-0.017745649331343483,0.0,2.204500586910907e-05,0.0069984599125449964,0.0070205049184141055,-0.021357328087170502,-0.021335283081301393,-0.012134086406807465,-0.012112041400938356,-0.008361173414362932,-0.008339128408493823,-0.022395981535292764,-0.022373936529423655,-0.0003700434830161692,-0.0003479984771470601,-0.02287432779863896,-0.02285228279276985,-0.004614300958130757,-0.004592255952261648,-0.0018831062195951986,-0.0018610612137260896,-0.035340326513607856,-0.03531828150773875,-0.0021082037914397223,-0.002086158785570613,0.011940358629948689,0.011962403635817798,0.005589770490743495,0.005611815496612604,-0.005649689857719298,-0.005627644851850189,0.012711815065042043,0.012733860070911152,0.017021362508463866,0.017043407514332976,0.013021257958499177,0.013043302964368286,,,-0.038404025434663036,-0.03838198042879393,-0.016069240264769302,-0.016047195258900193,-0.0031363095242034067,-0.0031142645183342976,0.18217063262825417,0.18219267763412328,-0.010130523412929748,-0.01010847840706064,0.004708099414438616,0.004730144420307725,0.027027002364792274,0.027049047370661383,0.017639120462028313,0.01766116546789742,-0.003773581028634454,-0.003751536022765345,0.004562022134354082,0.004584067140223191,-0.0035046225130749287,-0.0034825775072058196,-0.02097897431052098,-0.020956929304651872,,,-0.00590838687592421,-0.005886341870055101,0.01345286170061133,0.013474906706480438,,,-0.007481280816414082,-0.007459235810544973,0.004562022134354082,0.004584067140223191,,,0.02539060761880574,0.025412652624674847,0.009389668201078338,0.009411713206947447
2019-10-09,-2.1965201216556096e-05,0.005794206274355007,0.005816171475571563,0.03418157994130433,0.034203545142520886,-0.02959707930265043,-0.029575114101433875,0.002143426840155449,0.002165392041372005,-0.017944529088500194,-0.017922563887283638,0.0064983470572703705,0.006520312258486927,0.010927285104276319,0.010949250305492875,0.00023181162196039828,0.0002537768231769544,0.004936481985026386,0.0049584471862429425,0.005466747084158063,0.0054887122853746195,0.005503657227640124,0.00552562242885668,0.006533380176394266,0.006555345377610822,0.01061965634039308,0.010641621541609636,0.011857783008301315,0.01187974820951787,0.004370717419842629,0.004392682621059185,-0.0002873267690788328,-0.0002653615678622767,0.026200492194570213,0.02622245739578677,0.010760325911697954,0.01078229111291451,0.00011116945724132243,0.00013313465845787853,-0.010152350716271852,-0.010130385515055296,-0.007721829217537612,-0.007699864016321056,-0.0019398468487812348,-0.0019178816475646787,0.006502733316556597,0.006524698517773153,-0.002951057272072566,-0.0029290920708560098,0.010181888571427988,0.010203853772644544,0.013323443437304405,0.013345408638520961,-0.005462497752705464,-0.005440532551488908,0.011920458133297673,0.01194242333451423,-0.0018867766870569458,-0.0018648114858403897,-0.008141115574500701,-0.008119150373284145,0.009154913924360075,0.009176879125576631,-0.0044248095693196765,-0.00440284436810312,0.00944965687939403,0.009471622080610587,0.0,2.1965201216556096e-05,-0.002510428516415919,-0.002488463315199363,-0.04811715668998018,-0.04809519148876362,0.010282049130960758,0.010304014332177314,,,0.0036306962352243843,0.0036526614364409404,0.0012562439650953827,0.0012782091663119388,0.022471980969596128,0.022493946170812684,0.26229502109711245,0.262316986298329,0.007810347668082418,0.007832312869298974,0.019681355761108188,0.019703320962324744,-0.013157883046191032,-0.013135917844974476,-0.0013333365363744631,-0.001311371335157907,0.0,2.1965201216556096e-05,-0.0009082609204479342,-0.0008862957192313781,0.011723398473872715,0.011745363675089271,0.0,2.1965201216556096e-05,,,0.007429460919145647,0.007451426120362203,0.0,2.1965201216556096e-05,,,-0.015075237171851774,-0.015053271970635218,-0.0009082609204479342,-0.0008862957192313781,,,0.001904856004693034,0.0019268212059095902,0.01860454968638159,0.018626514887598145
2019-10-10,-2.1965201216556096e-05,0.01251125959060806,0.012533224791824615,0.0024849790257133186,0.0025069442269298747,0.04996760973071224,0.04998957493192879,-0.005774395197511217,-0.005752429996294661,0.009413001794750464,0.00943496699596702,0.01115166383859556,0.011173629039812116,0.016676793848811267,0.016698759050027823,0.046339567714994256,0.04636153291621081,0.013333309852080921,0.013355275053297477,0.002329960137726017,0.002351925338942573,-0.011368398127574175,-0.011346432926357619,0.026103722816987807,0.026125688018204363,-0.0008757053973666995,-0.0008537401961501434,0.00450721709192381,0.004529182293140366,0.04656224093892147,0.04658420614013803,0.009200515048993552,0.009222480250210108,0.020425554018868697,0.020447519220085253,0.015613993470520171,0.015635958671736727,0.02707486881514609,0.027096834016362648,-0.0012820597598552919,-0.0012600945586387358,0.0062255948767979685,0.006247560078014525,-0.004373279839144595,-0.004351314637928039,0.042713669851450975,0.04273563505266753,0.002959791787149779,0.0029817569883663353,0.015118815942159358,0.015140781143375914,-0.013878674538549962,-0.013856709337333406,0.01373092237079776,0.013752887572014316,0.0006545185507322859,0.000676483751948842,0.007561373371226754,0.00758333857244331,0.0957592918565855,0.09578125705780205,0.023028696438348373,0.02305066163956493,0.0,2.1965201216556096e-05,0.027533127723619044,0.0275550929248356,-0.01988637433137741,-0.019864409130160854,0.006711287396925281,0.006733252598141837,0.0,2.1965201216556096e-05,-0.007633034442016573,-0.007611069240800017,,,0.0025839134589182855,0.0026058786601348416,0.01672943377245506,0.016751398973671616,-0.01538460872583669,-0.015362643524620134,0.04675326525089374,0.046775230452110295,0.030465005343981888,0.030486970545198444,0.008271855982538545,0.008293821183755101,0.013333321328853343,0.013355286530069899,-0.012015908766907835,-0.011993943565691279,-0.007575852893208723,-0.007553887691992167,0.008181874092261676,0.008203839293478232,0.01042838401111612,0.010450349212332677,0.0535712171542988,0.053593182355515356,,,-0.010324507093867563,-0.010302541892651007,-0.0022121644016136477,-0.0021901992003970916,,,0.002550905579655094,0.00257287078087165,0.008181874092261676,0.008203839293478232,,,0.05133085457979236,0.05135281978100892,-0.004566162211699032,-0.004544197010482476
2019-10-11,-2.1885398162391212e-05,0.018606322964105804,0.018628208362268195,0.0006688390672755506,0.0006908042684921067,0.04697170470993628,0.046993669911152836,-0.009034131775265797,-0.00901216657404924,0.0010970392795381922,0.0011190044807547483,0.021477508617668617,0.021499473818885173,0.014884574595651179,0.014906539796867735,0.061336692433347606,0.06135865763456416,0.017313042072811147,0.017335007274027703,-0.0042619450444004725,-0.004239979843183916,0.0008517741091809139,0.00087373931039747,0.04290455437669616,0.042926519577912714,-0.00525853696858003,-0.005236571767363474,0.009572199768999257,0.009594164970215813,0.05363825323166882,0.053660218432885376,0.0310540598746738,0.031076025075890357,0.005004620863906739,0.005026586065123295,0.017120840731577047,0.017142805932793603,0.041519578318329975,0.04154154351954653,0.02695761584700196,0.026979581048218515,0.02165520785099817,0.021677173052214727,0.0034164830966809667,0.003438448297897523,0.035111871735490574,0.03513383693670713,0.009274895212192602,0.009296860413409158,0.013120497630158656,0.013142462831375212,0.004074128180220793,0.004096093381437349,0.10681120522856258,0.10683317042977913,0.037933281955481624,0.03795524715669818,-0.0037524310639268643,-0.0037304658627103082,0.07053677797918723,0.07055874318040378,0.030013596353938743,0.0300355615551553,-0.008148122716833073,-0.008126157515616517,0.01607705832341999,0.016099023524636547,0.005797072973419581,0.0058190381746361375,0.0,2.1965201216556096e-05,0.010988947648731706,0.011010912849948262,0.012820927618639066,0.012842892819855622,,,0.03865984723575644,0.038681812436972995,0.02550390586916418,0.025525871070380735,0.03437498488931956,0.034396950090536116,-0.0570719654358135,-0.05705000023459694,0.033194976771713236,0.03321694197292979,0.021878165376453484,0.02190013057767004,0.011842110895926128,0.011864076097142684,0.04594576479171342,0.04596772999292997,-0.01717540057904976,-0.017153435377833204,0.0009017089392784339,0.00092367414049499,0.008027742221963896,0.008049707423180452,0.0033899369950158853,0.0034119021962324414,,,0.010432214567170917,0.010454179768387473,0.008868998498221758,0.008890963699438315,,,0.022900713566814446,0.022922678768031002,0.0009017089392784339,0.00092367414049499,,,0.009041493409630563,0.00906345861084712,-0.009174215378983441,-0.009152250177766885
2019-10-14,-2.1845497234829203e-05,-0.002943756093775174,-0.0029219105965403447,0.03520398268802216,0.03522586808618455,0.007083616564295125,0.007105501962457517,0.0043412412219761,0.004363126620138491,0.013698644796622306,0.013720530194784697,-0.007671524045870792,-0.007649638647708401,-0.013169643413350918,-0.013147758015188526,0.007511053632056619,0.00753293903021901,-0.011572460637102266,-0.011550575238939875,0.009727789996147651,0.009749675394310042,-0.004680828685802885,-0.0046589432876404935,-0.00988929059088206,-0.00986740519271967,0.01233488323554055,0.012356768633702941,-0.004740720758351635,-0.004718835360189244,-0.005919458855971338,-0.005897573457808947,-0.0013815163103436667,-0.0013596309121812755,-0.004149781120778351,-0.00412789572261596,-0.002061186830856321,-0.0020393014326939296,-0.017281634957854064,-0.017259749559691673,0.0012501059908571754,0.0012719913890195667,0.003027919257143852,0.003049804655306243,0.007295583171726072,0.007317468569888463,-0.00831405257954887,-0.008292167181386478,0.007936561580486723,0.007958446978649114,-0.005600199370405234,-0.005578313972242843,0.005164089223080204,0.005185974621242595,-0.013286834245366475,-0.013264948847204083,0.004410837188050909,0.0044327225862133,0.003766564838832309,0.0037884502369947004,-0.012827973463610198,-0.012806088065447807,0.007947040751051793,0.007968926149214184,0.0395817564885641,0.03960364188672649,0.06540071426475347,0.06542259966291586,0.002881867026229834,0.0029037524243922253,-0.0008333595742324729,-0.0008114741760700817,0.041304361121641264,0.041326246519803655,-0.015190116991586233,-0.015168231593423842,,,-0.010421876701455002,-0.01039999130329261,-0.008423681516142145,-0.008401796117979754,-0.024600842300304238,-0.024578956902141846,0.03421055686110641,0.0342324422592688,-0.012801383739316052,-0.012779498341153661,-0.004460403861357598,-0.004438518463195207,0.089076667325235,0.0890985527233974,-0.016795701636807214,-0.016773816238644823,-0.02912623412303672,-0.02910434872487433,0.001801699420277636,0.0018235848184400272,0.004550692425395297,0.004572577823557689,-0.01689191166969317,-0.01687002627153078,,,0.01474918002682779,0.014771065424990182,-0.00439544378399348,-0.004373558385831089,,,0.016169119860154346,0.016191005258316737,0.001801699420277636,0.0018235848184400272,,,-0.012544793862092285,-0.012522908463929894,0.01388874137317564,0.01391062677133803
